1	object:sandwich.n.01
2	affordance:eating.n.01
3	object:lid.n.02
4	affordance:cooking.n.01
5	affordance:boiling.n.02
6	object:spoon.n.01
7	affordance:mixing.n.01
8	affordance:measurement.n.01
9	object:cup.n.01
10	affordance:drinking.n.01
11	object:bread.n.01
12	affordance:toasting.n.01
13	affordance:baking.n.02
14	object:hanger.n.02
15	affordance:supporting.n.01
16	affordance:storage.n.01
17	object:soap.n.01
18	affordance:cleaning.n.01
19	affordance:washing.n.01
20	object:chair.n.01
21	object:potato.n.01
22	affordance:frying.n.01
23	object:omelet.n.01
24	object:plate.n.04
25	object:dish.n.01
26	object:can.n.01
27	object:toaster.n.02
28	affordance:burning.n.01
29	affordance:heating.n.01
30	object:skillet.n.01
31	object:coffee_maker.n.01
32	object:candle.n.01
33	object:teapot.n.01
34	object:lettuce.n.02
35	object:apple.n.01
36	affordance:peeling.n.01
37	object:egg.n.02
38	object:towel.n.01
39	object:table.n.02
40	affordance:cutting.n.03
41	object:vacuum.n.04
42	object:faucet.n.01
43	object:tissue_paper.n.01
44	object:microwave.n.02
45	object:tomato.n.01
46	object:mug.n.04
47	object:cutting_board.n.01
48	affordance:slicing.n.02
49	object:oven.n.01
50	affordance:roasting.n.01
51	object:scrub_brush.n.01
52	object:napkin.n.01
53	object:water_bottle.n.01
54	object:refrigerator.n.01
55	object:counter.n.01
56	affordance:rolling.n.03
57	object:jar.n.01
58	object:rolling_pin.n.01
59	object:bag.n.01
60	object:basket.n.01
61	object:soap_dispenser.n.01
62	object:bowl.n.01
63	object:box.n.01
64	object:cabinet.n.01
65	object:sink.n.01
66	object:pot.n.01
67	object:fork.n.01
68	object:kitchen_stove.n.01
69	object:alarm_clock.n.01
70	object:container.n.01
71	object:drinking_glass.n.01
72	object:knife.n.01
73	object:aluminum_foil.n.01
74	object:water.n.06
75	location:bread.n.01
76	location:plate.n.04
77	location:dish.n.01
78	location:skillet.n.01
79	location:table.n.02
80	location:cutting_board.n.01
81	location:oven.n.01
82	location:napkin.n.01
83	location:refrigerator.n.01
84	location:counter.n.01
85	location:kitchen_stove.n.01
86	location:container.n.01
87	location:aluminum_foil.n.01
88	location:cup.n.01
89	location:can.n.01
90	location:coffee_maker.n.01
91	location:candle.n.01
92	location:teapot.n.01
93	location:watering_can.n.01
94	location:towel.n.01
95	location:mug.n.04
96	location:water_bottle.n.01
97	location:jar.n.01
98	location:basket.n.01
99	location:trash_can.n.01
100	location:bowl.n.01
101	location:box.n.01
102	location:pot.n.01
103	location:drinking_glass.n.01
104	location:spoon.n.01
105	location:cabinet.n.01
106	location:sink.n.01
107	location:fork.n.01
108	location:knife.n.01
109	location:chair.n.01
110	location:microwave.n.02
111	location:sandwich.n.01
112	location:toaster.n.02
113	location:lettuce.n.02
114	location:egg.n.02
115	location:knob.n.02
116	location:lid.n.02
117	location:scrub_brush.n.01
118	location:book.n.01
119	object:cellphone.n.01
120	location:tomato.n.01
121	object:book.n.01
122	object:watering_can.n.01
123	location:hanger.n.02
124	location:tissue_paper.n.01
125	location:omelet.n.01
126	location:soap.n.01
127	location:potato.n.01
128	object:credit_card.n.01
129	object:lamp.n.02
130	object:knob.n.02
131	location:faucet.n.01
132	object:switch.n.01
133	location:cellphone.n.01
134	location:bag.n.01
135	location:water.n.06
136	location:soap_dispenser.n.01
137	object:plunger.n.03
138	material:metal.n.02
139	material:plastic.n.01
140	material:glass.n.01
141	material:wood.n.01
142	material:ceramic.n.01
143	material:clay.n.01
144	material:paper.n.01
145	material:fabric.n.01
146	object:trash_can.n.01
