1	2	1
3	4	1
3	5	1
6	4	1
6	7	1
6	8	1
6	2	1
9	8	1
9	10	1
11	12	1
11	13	1
11	2	1
14	15	1
14	16	1
17	18	1
17	19	1
20	15	1
21	4	1
21	22	1
21	2	1
23	2	1
24	2	1
24	15	1
25	4	1
25	2	1
25	15	1
25	16	1
26	8	1
26	10	1
26	16	1
27	4	1
27	12	1
27	13	1
27	28	1
27	29	1
30	4	1
30	22	1
30	28	1
30	29	1
30	7	1
31	29	1
32	28	1
32	29	1
33	4	1
33	5	1
33	29	1
33	10	1
34	2	1
35	4	1
35	13	1
35	36	1
35	2	1
37	4	1
37	22	1
37	13	1
37	2	1
38	18	1
38	19	1
39	40	1
39	2	1
39	15	1
41	18	1
42	18	1
42	19	1
42	10	1
43	18	1
44	4	1
44	5	1
44	29	1
45	4	1
45	2	1
46	10	1
47	40	1
47	48	1
47	36	1
49	4	1
49	22	1
49	50	1
49	12	1
49	13	1
49	28	1
49	29	1
51	18	1
51	19	1
52	18	1
52	19	1
53	10	1
54	16	1
55	40	1
55	48	1
55	56	1
55	15	1
57	10	1
57	16	1
58	4	1
58	13	1
58	56	1
59	16	1
60	15	1
60	16	1
61	18	1
61	19	1
62	29	1
62	7	1
62	8	1
62	2	1
62	16	1
63	16	1
64	15	1
64	16	1
65	18	1
65	19	1
65	10	1
66	4	1
66	5	1
66	29	1
66	7	1
66	2	1
67	7	1
67	2	1
68	4	1
68	22	1
68	50	1
68	13	1
68	5	1
68	28	1
68	29	1
69	13	1
70	13	1
70	7	1
70	8	1
70	19	1
70	16	1
71	10	1
72	40	1
72	48	1
72	36	1
72	2	1
73	4	1
73	50	1
73	13	1
73	15	1
73	16	1
74	4	1
74	5	1
74	18	1
74	19	1
74	10	1
1	75	2
1	76	2
1	77	2
1	78	2
1	79	2
1	80	2
1	81	2
1	82	2
1	83	2
1	84	2
1	85	2
1	86	2
1	87	2
3	88	2
3	77	2
3	89	2
3	78	2
3	90	2
3	91	2
3	92	2
3	93	2
3	94	2
3	79	2
3	95	2
3	80	2
3	96	2
3	84	2
3	97	2
3	98	2
3	99	2
3	100	2
3	101	2
3	102	2
3	86	2
3	103	2
6	104	2
6	88	2
6	76	2
6	77	2
6	89	2
6	78	2
6	94	2
