-member_of_domain_usage-hypernym-_hypernym-	0.23943097189123802
-member_of_domain_usage-hypernym-	0.06939622947385132
-member_of_domain_usage-_hypernym-	0.022156243673223653
-_member_of_domain_region-member_of_domain_region-	0.0
-derivationally_related_form-member_of_domain_usage-	0.0
-_derivationally_related_form-member_of_domain_usage-	0.0
-_member_of_domain_region-member_of_domain_usage-hypernym-_hypernym-	0.0
-_member_of_domain_usage-member_of_domain_usage-hypernym-_hypernym-	0.0
-derivationally_related_form-_member_of_domain_usage-member_of_domain_usage-	0.0
-_derivationally_related_form-_member_of_domain_usage-member_of_domain_usage-	0.0
-_member_meronym-_member_of_domain_region-member_of_domain_usage-hypernym-_hypernym-	0.0
-hypernym-hypernym-_hypernym-has_part-	0.0
-_member_of_domain_usage-member_of_domain_usage-_member_of_domain_usage-member_of_domain_usage-	-0.0021763950378110276
-has_part-derivationally_related_form-_derivationally_related_form-_hypernym-	-0.0027299419358853723
-hypernym-_hypernym-_hypernym-	-0.005861368685278724
-hypernym-hypernym-_hypernym-_hypernym-	-0.008984620952751177
-hypernym-member_of_domain_usage-hypernym-	-0.009427514316082597
-has_part-derivationally_related_form-derivationally_related_form-_hypernym-	-0.010280070160987151
-_member_of_domain_usage-member_of_domain_usage-hypernym-	-0.012772834853237798
-has_part-_hypernym-	-0.014021260318390523
-has_part-_derivationally_related_form-_derivationally_related_form-_hypernym-	-0.018908788132532047
-has_part-_derivationally_related_form-derivationally_related_form-_hypernym-	-0.01938463655008047
-_member_of_domain_usage-member_of_domain_usage-	-0.021707942340591174
-hypernym-derivationally_related_form-derivationally_related_form-_hypernym-	-0.026333272617774545
-hypernym-hypernym-_hypernym-	-0.030860764545823025
-hypernym-_derivationally_related_form-_derivationally_related_form-_hypernym-	-0.03497774592286254
-hypernym-_derivationally_related_form-derivationally_related_form-_hypernym-	-0.03664596277565296
-_hypernym-_member_of_domain_usage-member_of_domain_usage-	-0.037220808628601894
-hypernym-derivationally_related_form-_derivationally_related_form-_hypernym-	-0.04125166996477725
-_hypernym-_member_of_domain_usage-member_of_domain_usage-hypernym-	-0.060483694298787735
-_hypernym-	-0.08149118758963282
-member_of_domain_usage-derivationally_related_form-_derivationally_related_form-_member_of_domain_usage-	-0.0856936398430301
-member_of_domain_usage-derivationally_related_form-derivationally_related_form-_member_of_domain_usage-	-0.0856936398430301
-member_of_domain_usage-_derivationally_related_form-_derivationally_related_form-_member_of_domain_usage-	-0.0856936398430301
-_derivationally_related_form-derivationally_related_form-_derivationally_related_form-derivationally_related_form-	-0.11062208091157263
-_hypernym-hypernym-	-0.11604444635729885
-_derivationally_related_form-_derivationally_related_form-_derivationally_related_form-derivationally_related_form-	-0.11661443297369524
-_derivationally_related_form-_derivationally_related_form-derivationally_related_form-derivationally_related_form-	-0.12082335060417676
-_derivationally_related_form-derivationally_related_form-derivationally_related_form-derivationally_related_form-	-0.12692273121895944
-member_of_domain_usage-_derivationally_related_form-derivationally_related_form-_member_of_domain_usage-	-0.12767562818596281
-_derivationally_related_form-derivationally_related_form-	-0.1288303018263269
-derivationally_related_form-_derivationally_related_form-	-0.13221470065159524
-_derivationally_related_form-_derivationally_related_form-	-0.1331554873459359
-derivationally_related_form-derivationally_related_form-	-0.1357124049632779
-hypernym-_hypernym-hypernym-_hypernym-	-0.1915858024832035
-hypernym-_hypernym-	-0.1982178405515515
-hypernym-hypernym-	-0.2143412639632294
-hypernym-	-0.22638611123943028
-hypernym-_member_of_domain_usage-	-0.2265653260263455
-member_of_domain_usage-_member_of_domain_usage-	-0.37127551821066956
